hand,height,player,age,ace,df,bpSaved
R,175.0,101242 - Brad Pearce,26 ~ 30,1.75,3.875,0.56375
L,185.0,101243 - Roberto Azar,21 ~ 25,2.0714285714285716,2.357142857142857,0.4407142857142858
L,185.0,101243 - Roberto Azar,26 ~ 30,1.7346938775510203,3.306122448979592,0.49755102040816324
R,180.0,101244 - Johan Donar,26 ~ 30,1.0,6.0,0.33
R,188.0,101248 - Pat Crow,21 ~ 25,14.0,7.0,0.77
R,188.0,101248 - Pat Crow,26 ~ 30,8.0,3.0,0.5
R,185.0,101249 - Andrei Olhovskiy,21 ~ 25,4.615384615384615,4.230769230769231,0.4746153846153846
R,185.0,101249 - Andrei Olhovskiy,26 ~ 30,7.694444444444445,4.194444444444445,0.5572222222222222
R,185.0,101249 - Andrei Olhovskiy,31 ~ 35,9.533333333333333,5.066666666666666,0.5246666666666666
R,180.0,101250 - Jose Daher,21 ~ 25,4.0,4.0,0.17
R,180.0,101250 - Jose Daher,26 ~ 30,5.0,4.666666666666667,0.47000000000000003
R,188.0,101251 - Eric Winogradsky,21 ~ 25,5.5,5.25,0.625
L,178.0,101256 - Mark Kratzmann,21 ~ 25,3.8333333333333335,3.4444444444444446,0.49444444444444446
L,178.0,101256 - Mark Kratzmann,26 ~ 30,3.0,5.0,0.5
L,188.0,101262 - Rikard Bergh,21 ~ 25,3.0,2.0,0.64
L,188.0,101262 - Rikard Bergh,26 ~ 30,5.333333333333333,2.3333333333333335,0.5433333333333333
R,190.0,101263 - Luke Jensen,26 ~ 30,4.565217391304348,3.130434782608696,0.4856521739130434
R,190.0,101263 - Luke Jensen,31 ~ 35,4.375,6.75,0.5587500000000001
R,193.0,101264 - Michael Tauson,21 ~ 25,5.0,1.0,0.43
R,183.0,101265 - Patrick McEnroe,21 ~ 25,3.9555555555555557,3.1555555555555554,0.5320000000000001
R,183.0,101265 - Patrick McEnroe,26 ~ 30,2.787878787878788,2.987878787878788,0.5910909090909091
R,183.0,101265 - Patrick McEnroe,31 ~ 35,1.6666666666666667,4.5,0.49
R,178.0,101270 - Thomas Gollwitzer,26 ~ 30,4.0,3.3636363636363638,0.4572727272727273
R,185.0,101274 - Udo Riglewski,21 ~ 25,3.4827586206896552,2.0,0.5472413793103448
R,185.0,101274 - Udo Riglewski,26 ~ 30,3.4,4.4,0.46399999999999997
L,180.0,101276 - Horacio De La Pena,21 ~ 25,0.8125,1.34375,0.540625
L,180.0,101276 - Horacio De La Pena,26 ~ 30,1.3970588235294117,1.25,0.5444117647058823
R,188.0,101278 - Scott Melville,21 ~ 25,3.0,3.0,0.33
L,180.0,101279 - Philippe Pech,26 ~ 30,4.0,5.25,0.635
L,188.0,101280 - Mikael Stadling,26 ~ 30,3.0,3.625,0.6112500000000001
L,180.0,101281 - Shelby Cannon,21 ~ 25,1.0,6.0,0.5
R,193.0,101284 - Lars Anders Wahlgren,21 ~ 25,1.5,2.0,0.5462500000000001
R,193.0,101284 - Lars Anders Wahlgren,26 ~ 30,3.25,1.0,0.5295000000000001
R,183.0,101285 - Thierry Champion,21 ~ 25,1.7692307692307692,1.0384615384615385,0.49769230769230766
R,183.0,101285 - Thierry Champion,26 ~ 30,1.647887323943662,1.380281690140845,0.5130985915492958
R,183.0,101285 - Thierry Champion,31 ~ 35,2.75,1.1666666666666667,0.4583333333333333
R,188.0,101298 - Jonas Svensson,21 ~ 25,3.0,1.7719298245614035,0.5194736842105263
R,188.0,101298 - Jonas Svensson,26 ~ 30,2.7714285714285714,2.038095238095238,0.5801904761904763
R,196.0,101299 - Sven Salumaa,26 ~ 30,2.0,7.0,0.33
R,190.0,101308 - Neil Broad,21 ~ 25,2.0,15.0,0.17
R,190.0,101308 - Neil Broad,26 ~ 30,1.0,2.0,0.43
R,180.0,101309 - Jay Berger,21 ~ 25,2.2,5.2,0.566
R,196.0,101311 - Kent Kinnear,21 ~ 25,5.0,3.25,0.8300000000000001
R,196.0,101311 - Kent Kinnear,26 ~ 30,6.466666666666667,3.4,0.5433333333333333
